trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
230,-0.7137289226658203,1000.0,945.0952616149611,-5.490473838503885,76.92659865872656,7.692659865872656,147,17,28,160,24.0,12,2.0,2.2,0.001,26,32,1.6,19,38,60,17.0,15,2.3,0.0032
164,-0.7160782992908387,1000.0,929.6095234608229,-7.039047653917718,100.10592586290227,9.829997167752147,240,0,10,210,27.0,19,1.1,2.8,0.0017000000000000001,24,34,2.4000000000000004,18,35,72,12.0,18,1.9,0.0036
147,-0.7180459307543243,1000.0,971.7103310524188,-2.8289668947581115,39.398132815629424,3.939813281562942,72,0,20,220,32.0,19,2.1,2.8,0.0014000000000000002,14,28,2.4000000000000004,17,35,72,14.0,17,1.2,0.0024000000000000002
26,-0.7201407579768627,1000.0,938.9951117357984,-6.100488826420158,85.16390365245184,8.47124504320329,196,9,18,320,22.0,12,2.1,3.2,0.0025,22,30,1.6,11,29,72,21.0,12,2.0,0.0022
209,-0.720446236559131,1000.0,925.8165315673159,-7.4183468432684085,103.58497363421475,10.296877777720953,235,67,18,230,22.0,15,1.7000000000000002,2.4000000000000004,0.0024000000000000002,24,24,2.3000000000000003,11,35,69,21.0,17,1.7,0.0024000000000000002
175,-0.7212224597194016,1000.0,957.9346349707996,-4.206536502920044,59.26864290085064,5.832509021636177,192,61,32,150,20.0,18,1.6,3.4000000000000004,0.0012000000000000001,16,40,1.6,10,32,65,20.0,18,1.8,0.0054
110,-0.721481869616104,1000.0,893.3105350103632,-10.668946498963683,152.93815581268677,14.787546227101398,271,6,26,300,18.0,15,1.8,2.0,0.0017000000000000001,24,28,1.6,10,33,71,14.0,11,2.2,0.0074
277,-0.7242342446408292,1000.0,972.4620435580625,-2.753795644193746,38.35019784644419,3.802354921175318,111,0,16,210,31.0,18,1.5,3.1,0.0016,22,34,2.3000000000000003,19,37,65,10.0,12,1.6,0.0044
200,-0.72707367177403,1000.0,931.4547475409194,-6.854525245908061,94.27552546612367,9.427552546612366,268,32,20,240,20.0,12,1.4,2.7,0.0016,24,18,1.7000000000000002,12,34,62,16.0,14,1.9,0.007
207,-0.729649693739398,1000.0,961.7218481879368,-3.827815181206329,53.07976165857758,5.246099894305544,57,21,34,220,30.0,16,1.1,1.8,0.0011,18,20,2.4000000000000004,18,36,67,21.0,19,1.5,0.0048000000000000004
20,-0.7316767193232782,1000.0,917.4604549001315,-8.25395450998685,113.71238372829748,11.280876228535554,268,0,12,220,18.0,10,1.9,3.3,0.0024000000000000002,26,18,1.6,18,29,71,12.0,11,2.1,0.0024000000000000002
63,-0.7380675533295316,1000.0,880.1852942607088,-11.981470573929121,168.60182874325415,16.23356902749476,153,60,40,260,19.0,19,1.0,3.1,0.0031,20,32,2.0,10,29,61,20.0,19,2.1,0.008
267,-0.7383907364508606,1000.0,954.0323255360063,-4.596767446399374,63.31952900852184,6.225386126177771,271,11,26,150,19.0,15,1.2,3.0,0.0013,12,30,1.7000000000000002,15,37,67,17.0,10,1.8,0.008
